        z       Tref      rho    expan        Cp      Tcond
 LAYER:            1
  6.484375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.687500E+04  1.000000E+00
  6.406250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.791667E+04  1.000000E+00
  6.328125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.895833E+04  1.000000E+00
  6.250000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.000000E+04  1.000000E+00
  6.171875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.104167E+04  1.000000E+00
  6.093750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.208333E+04  1.000000E+00
  6.015625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.312500E+04  1.000000E+00
  5.937500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.416667E+04  1.000000E+00
  5.859375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.520833E+04  1.000000E+00
  5.781250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.625000E+04  1.000000E+00
  5.703125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.729167E+04  1.000000E+00
  5.625000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.833333E+04  1.000000E+00
  5.546875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.937500E+04  1.000000E+00
  5.468750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  6.041667E+04  1.000000E+00
  5.390625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  6.145833E+04  1.000000E+00
  5.312500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  6.250000E+04  1.000000E+00
